question,correct_answer,wrong_answer
when did world war 2 end,"From mid-1944 to November 1945, the Eastern Front was the most important part of the war effort between Nazi Germany and the Soviet Union.","['World War II began with a German invasion of Poland on September 1, 1939', 'The two great powers, the United States (U.S.) and the Soviet Union (U.S.S.R.), began to distrust each other during the Cold War, which began in 1947.', 'In 1965 he announced the decision to stop all nuclear testing, including the suspension of the nuclear tests on Mururoa Atoll, the site of one of the biggest explosions and the largest French nuclear test in 19']"
what is a llc company?,A limited liability company (LLC) is a business structure.,"['The United States has five kinds of legal entities: sole proprietorship, partnership, limited li', 'An LLC can be described as a limited liability entity formed by an individual or a group of', ""It is a corporate structure in which owners are not personally liable for the company's""]"
what is a llc company?,A limited liability company (LLC) is a business structure.,"['LLCs can be classified as either member-managed or manager-managed.', 'A limited liability company (LLC) is the US-specific form of a private limited company', 'A limited liability company (LLC) is the preferred legal form for small businesses..']"
what are k cups,"K-Cups are one cup individual servings designed to be used with single serve coffee brewers, commonly referred to as Keurig single cup coffee makers, such as the Keurig brewer and the Keurig Mini,","['It was first available as part of 14-count samplers or larger, with the cups packaged into a cardboard box and were sold at mass retail for $9.85 each.', 'A reusable single-serve coffee maker (USM) or single-brew coffee maker (SBM), also known as a pod coffee machine or pod coffee maker, is a style of coffee maker optimized for preparation of', 'As of 2019, the company is expected to lose an additional 10 million in revenues over the next three years.']"
what is a chronograph watch,Chronograph watches or stopwatches are watches with the ability to time an event or record data via its stopwatch or chronograph function.,"['The chronograph watch has a special timepiece, called a stopwatch, which is used to', '(, /kroNiGRAFAX/): chronography; The study of the', 'Chronographs are the most versatile kind of watch because they can be worn in a wide range']"
what is a PCI port used for,"PCI is a local bus standard designed to replace ISA and NuBus, originally developed by Intel.The PCI Local Bus (or PCI) is a computer bus for attaching hardware devices in a computer. The PCI bus standard is","['A PCI Express (PCIe) expansion card slot, also called an x16, is a computer expansion slot for PCI Express-compliant (PCIe) Peripheral Component Interconnect cards.', 'PCI or Peripheral Component Interconnect is a local computer bus for attaching hardware devices', 'PCI is an initialism for Peripheral Component Interconnect, part of the PCI']"
who invented the television,"The first television set with a cathode-ray tube, based on the electromechanical camera tube technology of Karl Ferdinand Braun, was developed by American inventor Paul Nipkow.","['The modern television was invented by American inventor Philo Farnsworth.', 'In 1908, the first video transmission was sent, using LEM, across the ocean, but a practical device for transmission of continuous, motion-picture pictures over electrical wires for home entertainment was not developed during the next', 'Philo Taylor Farnsworth (August 19, 1906 – March']"
what are the side effects for lyme disease,"The most common early symptoms of Lyme disease are flu-like and include: fever, headache, fatigue, muscle and joint pain.","['The diagnosis and treatment of chronic Lyme disease is controversial, and is often treated by alternative care providers.', 'Symptoms The most common symptom of Lyme disease is an expanding area of redness, known as ""erythema migrans,"" which appears within a few days to a few weeks after being bitten by an infected tick.', 'The reported side effects of longterm antibiotic treatment of lyme disease include: Antibiotic resistance is an ongoing issue with lyme disease: about 20% of borrelia burgdorferi (the Lyme']"
what are the side effects for lyme disease,"The most common early symptoms of Lyme disease are flu-like and include: fever, headache, fatigue, muscle and joint pain.","['Side effects from Lyme vaccination are rare but most commonly include flu-like symptoms and a temporary increase in fever.', 'While all three species of deer ticks can cause Lyme disease, the blacklegged tick', 'Common symptoms include a circular rash, fever, headache, stiffness, and fatigue.']"
what are a and r reps,Artists and repertoire (A&R) is the division of a record label or music publishing company that is responsible for talent scouting and overseeing the artistic development of recording artists and/or songwriters.,"['The main principle of compound movement, called ""recomposition"" is to break up a workout into several sets, usually with each set focusing on a different part of the workout.', 'With the A.R., two different exercises can be performed in the same exercise set.', 'For example, while 1RM can be used as a relative measure, this is highly dependent on your 1RM baseline number.']"
what measurement is a furlong,"1 furlong is equal to 0.25 mi, or 0.2 miles.","['One furlong equals 220 yards or 660 feet.', 'The distance of 1852.15833333333', 'One furlong is equal to 201.168 meters.']"
where does ray lamontagne live,He lives in Massachusetts with his wife and two children.,"['Ray Lamontagne was born in Nashua, New Hampshire, on June 18,', ""Lamontagne's childhood was difficult and often lonely."", 'Ray LaMontagne was born in Sudbury, Massachusetts, the son of Ann (Bachmeier) and Gerald J. LaMontagne.']"
when the wind blows james patterson,"The 8th book in the Alex Cross series, When the Wind Blows was released on June 25, 2008.","['When the Wind Blows is a 1986 British nuclear war drama film.', ""When The Wind blows is a 1986 children's novel written and illustrated by Raymond Briggs."", 'When the Wind Blows is a 1986 British post-apocalyptic']"
who made facebook,"Mark Elliot Zuckerberg (/ ˈ z ʌ k ər b ɜːr ɡ / ; born May 14, 1984) is and American computer programmer and Internet entrepreneur.","['Facebook is a social networking site that gives the users a chance to express their views, opinions and their lives to everyone without any restrictions.', ""The world's largest social networking site (and fastest-growing tech startup)"", 'In an interview in 2007, Zuckerberg denied that he had stolen any source code or design from ConnectU.']"
what are the catholic gifts of the holy spirit,"The biblical gifts of the Holy Spirit, also known as Charisms, are the specific spiritual qualities and powers that are possessed by the Holy Spirit.","['The Seven Gifts of the Holy Spirit : wisdom, fortitude, charity, daring, counsel, wonder, and understanding.', 'According to Catholic belief, the term ""gifts of the Holy Spirit"" indicates divine qualities or', 'The Church Fathers had two traditional lists of the Seven Gifts of the Holy Spirit, which are sometimes summarized as 1. wisdom, 2. understanding, 3. knowledge, 4. counsel, 5. fortitude']"
what are the catholic gifts of the holy spirit,"The biblical gifts of the Holy Spirit, also known as Charisms, are the specific spiritual qualities and powers that are possessed by the Holy Spirit.","['These three persons are one in God, Godhead, or divine nature; the three being the one', 'Among the theological virtues, faith and charity have been considered two of the principal gifts or fruits of the Holy Spirit.', 'The Catholic Church is traditionally committed to doctrines related to the Trinity that hold that God is one ""substance"" in three ""persons""—the Father, the Son, and the Holy Spirit.']"
where do you find iodine,Natural iodine generally occurs in seawater and in soil in areas where iodine-containing minerals exist.,"['Iodine is a black non-metallic element with the chemical symbol, I (from Greek for ""violet"").', 'The element iodine was officially discovered on March 13, 1811, by Baron Bernard Courtois.', 'It is found in marine animals such as worms, molluscs, crustace']"
what are lobbying groups,"A special interest group, interest group, pressure group, lobby group, or lobby, is a group organized to represent a shared point of view on an issue, in an attempt to influence government policy.","['A lobby (, ) refers to an organized, usually official group of people that work together to help people see, understand and deal with an issue.', 'Lobbying is a deliberate, organized, and sustained attempt to influence the actions or opinions of individuals or decision-making bodies within the government..', 'A lobby is a thoroughfare with shops or buildings on either or both sides..']"
what are lobbying groups,"A special interest group, interest group, pressure group, lobby group, or lobby, is a group organized to represent a shared point of view on an issue, in an attempt to influence government policy.","['lobbying, often called grassroots lobbying, is a common way of attempting to', 'A lobby (, ) refers to an organized, usually official group of people that work together to help people see, understand and deal with an issue.', 'There are many types of lobbying: for government, for charity, for special interests or']"
who played the drums in the band cream back in 1968,"Ginger Baker, Ginger Baker","['After a brief period under the leadership of Ginger Baker, the remaining members replaced him with drummer Mitch Mitchell.', 'Back in the days when the band were together, drummer Ginger Baker played in a group called', 'In the 1960s, he started playing professionally on the skiffle circuit at age 15 alongside musicians such as John Mayall in his band The John Mayall Trio.']"
what president made decision to buy louisiana,"The Louisiana Purchase (French : vente de la Louisiane ) was the acquisition by the United States of America (of the Louisiana Territory, which comprised most of the modern state of Louisiana in the United States. :","['At the end of his term in March 1801, Thomas Jefferson transferred his case to the Supreme Court, which declared the Louisiana Purchase unconstitutional.', 'As the President of the United States, James Monroe made a decision that resulted in the Louisiana P', 'President Thomas Jefferson, who, on the advice of James Monroe, purchased the region for $1']"
who sang cool jerk,"""Cool Jerk"" was a hit single for The Capitols on Ramp Records in 1966, rising to number 12 on the Billboard Hot 100 chart and number 3 on the R&B chart","['The song was first recorded by Sly & the Family Stone and released on their album Small Talk in 1974.', 'Cool Jerk is a 1963 Jamaican ska song written, produced, and managed by Jackie Mittoo for the record label he co-founded and managed, Federal Records.', 'A jerk is a dance move.']"
what is a league in the sea,"A league is a unit of length, approximately 3 miles or 4.8 km.","['A league is a unit of length, the distance an adult can walk in one hour ; the league was historically used to measure distances at sea.', 'The Sea League (Spanish: Liga del Mar) was a regionalist nationalist party in Puerto Rico that promoted the end of the political status of the island.', 'A league (nautical measure).']"
when will ie9 be released,"IE9 was introduced to manufacturing partners on March 15, 2010 and to end users on March 14, 2011 alongside IE8.","['Internet Explorer 9 (codenamed Mango) is the next major update to the Windows Internet Explorer series of web browsers, initially developed by Microsoft Corporation for Windows 7 and Server 2008 R2 operating systems.', ""Internet Explorer 9 (IE9) is the upcoming, next major version of Microsoft's graphical web-browser Internet Explorer (IE), which is the primary competitor of the other common browsers such as Mozilla, Opera, and Apple"", 'The IE9 platform preview was released on September 15, 2010 and is']"
when did classification of races begin,"On February 28, 1802, the French National Assembly had divided the human species into 'five great human races': Mongoloid, Ethiopian, Aryan, Malaysian and American.","['Social theories of race and nation, such as the one developed by Ernest Gellner in Nation and Nationalism, view social groups as an abstraction of ""primordial"" human social instincts of family, friendship, and other forms of social', 'The racial division of European populations began in the 18th century and was strongly influenced by the theories set forth in the works of German geographers of the period.', 'The term race typically refers to one of the categories used in anthropology.']"
when did lucy stone died,"Lucy Stone lived to the age of 83 years, dying in 1893 at her home in West Brookfield.","['Stone died in March 1893 in Philadelphia, Pennsylvania, aged 73.', 'Lucy Stone.', ""Elizabeth Cady Stanton, Susan B. Anthony, and Lucy Stone were early 19th century American women's rights activists.""]"
what are stocks and bonds,"In finance, stocks (also known as equities or shares) and bonds are two major financial instruments used to build portfolios and/or invest in companies.","['A stock is a type of security that signifies a share in ownership of the issuing corporation', 'Stocks and bonds are financial instruments that can be used for raising finance for business activities.', 'Stock and bonds are securities that represent stocks and bonds of a company.']"
what are stocks and bonds,"In finance, stocks (also known as equities or shares) and bonds are two major financial instruments used to build portfolios and/or invest in companies.","['Stock and bonds are securities that represent stocks and bonds of a company.', ""Some bonds pay a fixed interest rate that is paid after each year - this kind of bond is called fixed income and is sometimes contrasted with growth bonds, where the interest rate in subsequent years will be calculated on the basis of previous years'"", 'In simple terms, an investment vehicle such as common stock or corporate bonds is not an ""investment"" or ""security"" per see, but simply a form of ""ownership""; the stock/bond investor does not']"
what states has the electric chair,"In addition to the United States, the electric chair has also been used as a form of execution in the Philippines and Belarus.","['As of 2010, all of the following U.S. states have executed death', 'The most common electric chair model is a padded wooden chair with insulated wires attached to the', 'In 1923, the state Legislature abolished hanging and imposed the electric chair as the only means of execution.']"
when did germans enter paris in ww2,"Germany did not actually invade Paris through the streets like that, the Germans had entered through the 14th Arrondissement, which took over several days.","['On June 5, 1940, German soldiers underneath the Swastika flag with Hitler salute entered Paris.', 'The liberation of Paris took place in August 1944, during World War II', 'On the other hand, Paris did see large military engagements from the German occupation through the liberation']"
who wrote the song feelin alright,"""Feelin' Alright"" is a protest song written by Dave Mason in 1966 when he was a member of the rock group Traffic.","['""Feelings"" was written by American singer, songwriter and producer Edna Wright under the pseudonym of Eddie Holman.', ""Feelin' Alright?"", 'The song was written by Jesse Colin Young and written in July 1965.']"
what are loan originations,"Loan origination is the process by which a borrower applies for a new loan , and a lender processes that application.","['Loan originations are funds made through a loan.', 'Loan origination is a process used by institutions to facilitate the approval and closing of loans.', 'Loan origination is the process by which mortgages are sold in the secondary market.']"
what are loan originations,Loan origination is a specialized version of new account opening for financial services organizations.,"['Loan Origination is a process by which a bank or lender makes a loan, and ""originates"" it by making a commitment to lend.', 'Loan origination (or simply origination) is the activity involved in creating a new loan', 'Loan originations or loan origination refers to the initial stage of an individual or business seeking a loan from a financial institution for a particular expenditure.']"
When did the New Deal start,"The New Deal programs were part of Franklin D. Roosevelt's response to the Great Depression, which resulted in a massive federal expansion of economic planning and the role of American government in the nation's economic life.","['The term New Deal refers to the 1933 1939 economic and social-political projects, as well as their legislation, of President Franklin D. ASSISTANT: At the turn of the 2', 'The New Deal was an economic and social welfare program enacted in the United States between 1933 to 1939.', 'The New Deal refers to the domestic program of public relief, reform, and economic recovery under President Franklin Delano Roosevelt between 1933 and 1934.']"
what year did aerosmith i dont want to miss a thing,"At the 62nd AIAS Awards in 2021 AaeroSmaUa, the song was voted the 48th greatest AaeroSmaUa song of all time.","[""I Don't Want to Miss a Thing reached number one on the UK Singles Chart, becoming Aerosmith's second consecutive single in this country after I Don't Want to Miss a Thing was released; a first"", '""I Don\'t Want to Miss a Thing"" was written by Diane Warren and produced by Aerosmith themselves (Brad Whitford, Rick Dufay, and Marti Frederiksen).', 'Aerosmith - ""I Don\'t Want to Miss a Thing"" is a song from Aerosmith\'s 2001 album, Just Push Play.']"
when did daylight savings time start,"The concept in the modern form of DST has been in use since the early 19 century throughout most of Europe, North America, and other places.","['Standard time, a legal time that differs from actual solar time (that is, the time at', 'Since then, several countries have used variations of this system.', 'Daylight saving time (DST) (also summer time ) is the practice of moving the conventional clock time forward by one hour in the spring and backward by one hour in the autumn.']"
What region of France is Montargis in?,The arrondissement of Montargis is a former arrondissement of the Loiret department in the Centre-Val de Loire region of France.,"['The Loire is 1,012 km (630 mi) long in a northwesterly direction from the Alps to the Atlantic.', 'The Arrondissement of Montargis is a subdivision of the Département of Loiret, situated in the Île-de-France région in northern France.', 'The region, which lies between the Mediterranean Sea and the Atlantic Ocean, is known for its']"
what year lord of rings made?,The Lord of the Rings trilogy of books was published from 1954 to 1955.,"['Peter Jackson was born in Wellington, New Zealand, the third of four children of Bill and Jacqui Jackson.', 'The Lord of the Rings was filmed between 2000 and 2003.', 'Peter Jackson was nominated for an Academy Award for Best Director and the film was nominated for Best Picture.']"
what is  file based system,The file system refers to any computer storage system which organizes data and/or metadata in files.,"['File-based backups are simpler, less expensive, and less flexible, although they can usually be restored to any computer with the backup software installed.', 'The traditional operating system model in computing systems was based on the idea of an independent file system, that', 'In computing, a file system (or filesystem) is a type of data store which can be used']"
What political conflicts marked the presidency of William Howard Taft?,"In 1911, Taft was nominated again to succeed himself. There was dissent from Progressives.","['Political conflicts marked the presidency of William Howard Taft, including political stagnation that contributed to his presidential landslide victory in 1908 but made it difficult for his second term in 1912. :', 'President Taft was deeply involved in the affairs of Latin America and the Caribbean during his time', '5.']"
what temperature is a salt ice bath,"A cooling bath, in laboratory chemistry (often but not always organic chemistry ) practice, is a liquid mixture which is used to maintain low temperatures, typically between 13 °C and −196 °C.","['A body temperature of 37°C (98.6°F) is the normal human core temperature (EHB).', 'The ideal temperature for the salt bath depends on the alloy.', 'Temperature ranges for common uses of ice (2) Water Temperature, °F Water Temperature, °C Ice to form, °F Ice to melt, °F Ice to form, °C Ice to melt,']"
when slavery abolished,"From 1807 to 1861, the United States gradually abolished slavery, first in the Northern states, then in the Western states and territories, and finally in the South.","['During his 1995 State of the Union address, Bill Clinton announced that he would', 'In December 1865 the Thirteenth Amendment, which abolished slavery', 'The Emancipation Proclamation, issued January 1, 1863,']"
when slavery abolished,"From 1807 to 1861, the United States gradually abolished slavery, first in the Northern states, then in the Western states and territories, and finally in the South.","['A national convention to discuss how to abolish slavery in the United States was held in Philadelphia in', 'Slavery in the United States was the legal institution of human chattel enslavement,', 'The first 10 states to abolish slavery: Vermont (1777),']"
what produces primary xylem?,"Xylem (/ˈzɪləm/) is one of the two types of transport tissue in vascular plants, phloem being the other. Xylem transports water and nutrients from the roots to the leaves","['The primary xylem is composed of non-living, dead xylem cells such as tracheids, vessels, vessel elements, xylem parenchyma, fiber and xylem fiber.', 'Most secondary xylem is produced after the initial growth of primary xylem.', 'In angiosperms the primary xylem is formed within the vascular bundle during the']"
what is a ti 82?,Texas Instruments TI-81 Texas Instruments TI-73 Texas Instruments TI-82 Texas Instruments TI-73 Texas Instruments TI-82,"['TI-82 is a hand-held calculator made by Texas Instruments for calculating complex and real numbers, and solving equations.', 'The Texas Instruments TI-82 is a graphing calculator introduced by Texas Instruments in March 1991.', 'The Texas Instruments TI-82 programmable calculator was the sixth financial model in the popular TI-8x line, and was introduced in 1990.']"
what is a ti 82?,Texas Instruments TI-81 Texas Instruments TI-73 Texas Instruments TI-82 Texas Instruments TI-73 Texas Instruments TI-82,"['TI-82 is a hand-held calculator made by Texas Instruments for calculating complex and real numbers, and solving equations.', 'Calculators', 'The Texas Instruments TI-82 programmable calculator was the sixth financial model in the popular TI-8x line, and was introduced in 1990.']"
who owned kansas before it became a state,"Before becoming a territory of the US, Kansas was claimed by several different Indian tribes. It is believed that the region was originally inhabited by the Caddo and other Indian tribes.","['It was part of Mexico until the Mexican–American War (1846–184', 'Santa Fe Trail is a historical and scenic route which was used by traders, mountain men, Native Americans, coveredwagons, and the Pony Express.', 'Kansas was established as Kansas Territory on May 30, 1854  and it was admitted to the union on January 29, 1861, becoming the 34th state in the United States.']"
when did thomas jefferson become president,"Jefferson was elected president in 1800, defeating Federalist Party candidate John Adams in a close contest.","['Thomas Jefferson was the primary author of the 1774 Declaration of Independence and 1787 U.S. Constitution.', 'Thomas Jefferson became President June 4, 1801 - March 4, 1809.', 'Jefferson assumed the presidency under extraordinary circumstances in 1801 and his second term began on his sixty-fifth birthday.']"
when did thomas jefferson become president,"Jefferson was elected president in 1800, defeating Federalist Party candidate John Adams in a close contest.","['Thomas Jefferson, the third president of the United States and the principal author of the Declaration of Independence, was born on April 13, 1743 (April 1, 1743 O.S.,', 'Thomas Jefferson was born on April 13, 1743 (April 2, 1743, Old Style, Julian calendar), at Shadwell in the Colony of Virginia, the third of ten children.', 'On October 17, 1808, Jefferson became ill with a fever.']"
who sang sun city,"""Sun City"" is a song written by Steve Van Zandt that was first included on Little Steven & the Disciples of Soul's album Soulfire in 1987.","['A cover version of the song by the British rock/pop group The Righteous Brothers topped the charts of the U.K. Singles Chart in 1985, and in South Africa and Switzerland in 1986', '""Sun City"" is a song written by American-born South African musician, Lebo M, and released as a single by Quincy Jones.', 'Elton Hercules John CBE (born Reginald Kenneth Dwight, 25 March 1947) is an English singer, pianist, songwriter and composer.']"
who won the most nba championships,"In the modern era, since 1946, the most successful basketball players have been Bill Russell, Magic Johnson and John Kerr.","['Kobe Bryant and Tim Duncan won five championships each.', 'Michael Jordan and Tim Duncan both have 5.', 'Bill Russell won 11 championships with the Boston Celtics.']"
when did the word fuck begin,"First usage of f*ck has been dated to 1477, when the word appeared in Oxford English Dictionary with two different definitions.","['A study by the University of Leeds suggests that the word was originally pronounced more like the present', 'It is first recorded in a 1375 manuscript, from a poem that includes the line ""Thy maidenhead and fuck.""', 'The OED cites its first appearance as a word of obscenity in Samuel Pepys diary entry for December 25, 1669.']"
what are the 7 continents,"the seven continents, from largest in size to smallest: Asia, Africa, North America, South America, Europe, Australia, and Antarctica ; on an equal-area projection, like the Gall-Peters projection in the geography text","['Continent is the major continuous non-oceanic surface of the Earth.', 'The seven (sometimes eight) contemporary continents in geography are: Anthropological conceptions of continents tend to follow political divisions, and thus, continents such as Australasia, Zealandia and the New World constitute cultural and ge', 'Continents are the largest areas on Earth that are all one landmass and not split by ocean']"
when monopoly came out,The Monopoly board game was developed by American woman Elizabeth Magie Phillips to illustrate the economic and social consequences of land ownership and rent exploitation by businessmen.,"['The prototype version of Monopoly was created by Charles Darrow in 1933.', 'Parker Brothers introduced the game in 1935, 22 years after Monopoly', 'In 1970, the original patent on the game had expired, which made the game public domain ; as a result, many other companies produced their own versions of Monopoly, such as Parker Brothers, L. L.']"
what state is Mn,"The U.S. state of Minnesota is bordered by Manitoba and Ontario, Canada, to the north, Wisconsin to the east, Iowa to the south, South Dakota and North Dakota to the west, and is bounded by Lake","['Minnesota has a gross state product of $363.4 billion.', ""The State of Minnesota's history and cultural characteristics can be traced back to its American Indian her"", 'MINN is an ICAO airline designator.']"
what naturally occurring isotopes does cobalt have,Cobalt-60 is an isotope of cobalt that is a part of a family of radioactive isotopes with a very long half-life of 5.27±0.01 years that can be,"['Cobalt has 13 naturally occurring isotopes, all of which have been found to be stable.', 'Cobalt is an element with symbol Co and atomic number 27.', 'Cobalt is a chemical element with symbol Co and atomic number 27.']"
Who Moved My Cheese Synopsis,"An easy-to-read parable about profitability, adaptation, and learning from failure.","['Who Moved My Cheese is a parable.', 'Cheese is the heart of ""Who Moved My Cheese?', 'The protagonist and antagonist characters begin to move in search for more cheese in "" new areas "".']"
who replaced nikita khrushchev,"Leading candidates, from the early 1950s onwards, were Malenkov, Bulganin (from 20 May 1953), Khrushchev himself, Kosygin, and Molotov","['Nikita Sergeyevich Khrushchev was born on the present-day territory of modern-day Ukraine.', 'De-Stalinization in the Soviet Union.', ""Khrushchev's dismissal in 1964 by his party colleagues marked""]"
What Are Mnemonic Devices,A mnemonic device is a learning technique that aids information retention in the human memory.,"['Mnemonic (in ancient Greek, μνήμη mnḗm', 'Nouns and verbs are generally the easiest to remember, because they are the most common words.', 'A mnemonic, from the Greek, is an aid to memory, something that helps the memory']"
who passed no child left behind,"George W. Bush, Bill Clinton and Lyndon B. Johnson are the only three presidents to sign into law major education reform legislation.","['No Child Left Behind, the 2001 education bill that President George W. Bush', 'This is a list of the people in the legislature who vote for or against the final passage of the No Child Left Behind Act of 2001 that was signed into law by President George W. Bush in January, 20', 'After being elected senator he became ranking member of the Senate Committee on Foreign Relations and the Senate Committee on Finance.']"
What is a surveyors wheel,"A surveyor's wheel or engineer's wheel is an object used by a surveyor, typically consisting of a large wheel with a handle or arms to extend its leverage, that allows the surveyor to set and determine horizontal angles, used","['A theodolite (from Ancient Greek: θεαδόλεια, ""loved by the gods"") is an instrument used in surveying or geometry used to measure the angle and position of survey markers relative to', 'A surveying wheel is a portable instrument for measuring horizontal angles.', ""A surveyor's wheel or measuring wheel is a type of perambulator, usually mounted""]"
where did world war 1 start,"The First World War was a global war that originated in Europe in 1914, and the war lasted until 1918 - more than 5 years.","['The term "" Great War "" was the most common name for World War I during its own time.', 'The assassination of Franz Ferdinand, archduke of Austria, by a Yugoslav student,', 'The First World War, also known as the First World War in Europe, the Great War, and often World War I or WWI, is a global military conflict between July 28, 1914 and November 11,']"
what year was girls just want to have fun release,"""Girls Just Want to Have Fun"" is a 1979 song originally written by Robert Hazard and made famous by singer Cyndi Lauper .","['Girls Just Wanna Have Fun (The 2 Live Crew album)', 'It was released in 1985.', '""Girls Just Want to Have Fun"" is a song by American singer Cyndi Lauper.']"
when can you use a defibulator,A defibrillator is a medical device designed to treat life- threatening cardiac arrest.,"[""Defibrillator, also known as the defibrillator, and commonly called a 'AED' (for automatic external defibrillator), is a machine designed to provide emergency help to those who have collapsed because their heart has"", 'A defibrillator, also known as an automated external defibrillator (AED) is a medical device that automatically diagnoses life-threatening cardiac arrhythmias, and is able to treat them with', 'A defibrillator is an automated external defibrillator (AED), a medical device that automatically diagnoses the life threatening cardiac arrhythmia of ventricular fibrillation in a patient, and is']"
who created the cato institute,"The Cato Institute is an American libertarian think tank headquartered in Washington, D.C.","['The Cato Institute is a libertarian think tank headquartered in Washington, D.C. Its mission is to ""broaden the parameters of public policy debate to allow considered evaluation of alternate means of achieving socially desirable goals"",', 'In 1974, Ed Crane, Charles G. Koch and a few other members', 'The Cato Institute is a libertarian think tank founded in 1977 by Charles Koch and Bill Niskanen as the Charles G. Koch Foundation.']"
what are the players in Quidditch?,A Quidditch match begins with the introduction of the teams by the referees to the crowd.,"['The Quidditch pitch, also known as the Quidditch field or The Pitch, is', 'At the start of each Quidditch match, the teams enter in separate boxes known as the boxes (plural, not singular: The two teams\' Box-keeper positions are each known as ""The Box.', 'As defined by the Harry Potter novels, players of the Quidditch sport are referred to']"
who wrote the song a little more country than that>,A Little More Country Than That Songtext von Easton Corbin. I'd rather you say I'm a little too rough.,"['A Little More Country Than That was written by Billy Montana and was recorded by George Strait.', 'A Little More Country Than That is a song by American country music artist Ronnie Milsap.', 'It was written by the then couple Joey + Rory who recorded the duet themselves.']"
who makes blackberry,BlackBerry is a Canadian manufacturer of smartphones and tablets.,"['BlackBerry Limited often shortened to simply BlackBerry, is a Canadian company based in Waterloo, Ontario that designs, manufactures and markets smartphones, tablets and IoT devices.', 'BlackBerry Limited () formerly known as Research In Motion Limited (RIM), is a Canadian telecommunication and information technology corporation specializing in cloud-based enterprise mobility solutions.', 'A cell phone or mobile phone is a phone that works through a cellular network, in contrast to']"
when does a demand curve shift?,A demand curve is a graph of demand for a product or service plotted as a line indicating the quantity demanded at each possible price.,"['A demand curve always shifts downward when the price of the good decreases, and it sh', 'The demand curve and the supply curve intersect at the equilibrium price where the quantity demanded equals the quantity supplied.', 'When the quantity demanded of a good increases.']"
what is a vm server,A virtual machine ( VM ) is a computer on which the operating system (OS) and programs exist only as software.,"['A software implementation of a hardware computer system is a virtual machine.', 'It is designed to have a low disk IO by using virtualized disk IO.', ""On most Linux systems runing the BSD derived OpenVMS operating system, a 'Vm Server' is a Unix process that is started by the 'Vm' or 'Nix' component of OpenVMS to provide a BSD""]"
what are the quad muscles,"The quads, also referred to as the quadriceps, are the four muscles in the thigh that co-contract so you can straighten your leg.","['The most commonly injured muscles are the medial, lateral and anterior quadriceps muscles', 'The quadriceps femoris muscle, is a composite muscle and is commonly referred to simply', 'The Quadriceps Femoris Group is made up of 4 individual muscles.']"
when did the titanic sink,"There are 0 results for ""When Did Titanic Sink "" : ""On 15 April 1912, more than four days after it collided with an iceberg and sank, RMS Titanic came","['After a lifeboat drill the next day, the Titanic departs Southampton at 4:15 p.m. with 2,223 people on board and reaches Cherbourg at 10:', 'On April 14, the night of its maiden voyage, Titanic collided with', 'Between 54 and 71 hours.']"
where is the human thigh located?,The thigh is part of the lower limb.,"['Human thighs are a type of muscle in the human body.', 'The human body consists of many levels of organizations, ranging from macromolecules to cells, tissues, organs, and systems and ultimately to the whole organism.', 'From Wikipedia, the free encyclopedia']"
what is considered a large car,"On the other hand, a compact car is usually only slightly smaller than a mid-size car, although there are compact cars that are longer, both in length and in wheelbase, than many small and mid-size cars.","['A large car, or full-size car, is a car of larger size, usually larger than', 'In some countries, the legal definition of a large automobile (in North America, for example) is any car above a certain size (for example, 2.1 meters, or about 8 feet ); and in other countries such a legal', 'Depending on region, a small car is considered between 1.5 to 2 liters (105 cu in to 133 cu in), while a large car is considered to be over 2.5 liters (around']"
when was james madison in the house of representatives,"Madison became the first delegate to propose the Bill of Rights during the 1789 First United States Congress, while a member of the House of Representatives, when he offered his ""Virginia Plan"" ; he had written the Virginia","['Madison was appointed by George Washington to become the secretary of state in his cabinet after the new government', 'In the election of 1812, both Madison and Monroe ran with the Democratic-Republican slate.', 'After the war, he returned to Virginia and resumed practicing law, and in 1786 he married Dolley Madison, who later became famous for the rescue of the contents of the White House during the War of 18']"
What is and where is hydraulic fluid found and used for,Hydraulic fluid or liquid hydraulics is a liquid used for transmitting power from one location to another.,"['Where does the hydraulic fluid come from?', 'A hydraulic system uses incompressible fluid to transfer power for the movement or control of a machine by using hydraulic fluids and hydraulic systems.', ""Hydraulic fluid is the liquid in a hydraulic system that transmits power from the pump to the vehicle's brakes, clutch, steering, and wheel cylinders.""]"
Where Are Mahindra Tractors Made,"Mahindra & Mahindra Ltd (M&M) is an Indian multinational automotive manufacturing corporation headquartered in Mumbai, India. It is a part of the Mahindra Group, and is","['In the early 1950s, an Indian delegation went abroad to assess the state of the global tractor market.', 'Mahindra Tractors Pvt Ltd established in 1963 and is part of Mahindra & Mahindra group of companies which is one of the largest tractor companies in the world, with a production capacity of 1', 'Mahindra is the largest tractor manufacturer in the world by volume, having sold more than']"
Where Are Mahindra Tractors Made,"Mahindra & Mahindra Ltd (M&M) is an Indian multinational automotive manufacturing corporation headquartered in Mumbai, India. It is a part of the Mahindra Group, and is","[""Mahindra's headquarters are in Mumbai"", 'Mahindra & Mahindra is an American auto-maker, known for their range of quality utility vehicles, that are manufactured in the United States.', 'Mahindra & Mahindra (M&M) ( /) — a part of the Mahindra Group — is an Indian multinational car manufacturing company headquartered in Mumbai, Maharashtra,']"
